customer_id,child_category_name,child_category_name
7927,Iogurte,102
7927,Macarrão de Sêmola,51
7927,Sabonete em Barra,48
7927,Tempero em Tablete,22
7927,Café,16
7927,Molho de Tomate,16
7927,Limpador Multiuso,15
7927,Suco,15
7927,Creme Dental,12
7927,Sabão em Pó,8
7927,Óleo de Soja,8
7927,Desodorante Aerossol,7
7927,Conserva,6
7927,Sabonete em Barra Infantil,6
7927,Tomate Pelado,6
7927,Água Sanitária,6
7927,Azeite de Oliva,3
7927,Esponja de Aço,3
7927,Farinha de Trigo,3
7927,Leite Tradicional,3
7927,Manteiga,3
7927,Desengordurante,2
7927,Escova Multiuso,2
7927,Papel Higiênico,2
7927,Shampoo Infantil,2
7927,Açúcar Refinado,1
7927,Escova Dental,1
7927,Esponja Multiuso,1
7927,Esponja para Banho,1
7927,Fermento,1
7927,Inseticida,1
7927,Massa para Pastel,1
7927,Palito de Dente,1
7927,Pão,1
7927,Queijo Gouda,1
7927,Toalha de Papel,1
7952,Macarrão de Sêmola,17
7952,Refrigerante,6
7952,Detergente de Louça,5
7952,Molho de Tomate,4
7952,Desinfetante,3
7952,Filtro de Café,3
7952,Papel Higiênico,3
7952,Adoçante,2
7952,Conserva,2
7952,Guardanapo de Papel,2
7952,Óleo de Soja,2
7952,Banha,1
7952,Creme de Leite,1
7952,Inseticida,1
8037,Macarrão de Sêmola,21
8037,Sorvete,8
8037,Filtro de Café,3
8037,Salgadinho,3
8037,Conserva,2
8037,Maionese,1
8037,Palito de Dente,1
8037,Sabão em Pó,1
8037,Óleo de Soja,1
8079,Leite Tradicional,3
8086,Suco,837
8086,Macarrão de Sêmola,120
8086,Condicionador,106
8086,Molho de Tomate,80
8086,Leite Tradicional,57
8086,Sabão em Pó,42
8086,Café,38
8086,Biscoito Doce,36
8086,Biscoito Salgado,36
8086,Creme Dental,34
8086,Papel Higiênico,32
8086,Desinfetante,29
8086,Conserva,27
8086,Iogurte,24
8086,Creme de Leite,22
8086,Alvejante,16
8086,Farinha de Trigo,14
8086,Manteiga,14
8086,Açúcar Refinado,13
8086,Requeijão,12
8086,Sabonete em Barra,12
8086,Macarrão Instantâneo,11
8086,Toalha de Papel,11
8086,Creme de Avelã/Amêndoa,10
8086,Sardinha em Conserva,10
8086,Shampoo,9
8086,Farofa Pronta,8
8086,Torrada,8
8086,Aparelho e Lâmina de Barbear,7
8086,Desodorante Aerossol,7
8086,Milho para Pipoca,7
8086,Chocolate em Barra,6
8086,Filtro de Café,6
8086,Leite Condensado,6
8086,Wafer,4
8086,Água de Coco,4
8086,Óleo de Soja,4
8086,Azeite de Oliva,3
8086,Esponja Multiuso,3
8086,Maionese,3
8086,Extrato de Tomate,2
8086,Inseticida,2
8086,Ketchup,2
8086,Porta-Mantimentos,2
8086,Pão de Alho,2
8086,Saponáceo,2
8086,Água Sanitária,2
8086,Abacaxi em Calda,1
8086,Absorvente Higiênico,1
8086,Adesivo Instantâneo,1
8086,Amido,1
8086,Guardanapo de Papel,1
8086,Margarina,1
8086,Molhos Diversos,1
8086,Prato,1
8086,Pão Recheado,1
8086,Salgadinho,1
8091,Sabonete em Barra,114
8091,Shampoo,92
8091,Macarrão de Sêmola,80
8091,Condicionador,78
8091,Leite Tradicional,57
8091,Desodorante Aerossol,42
8091,Detergente de Louça,40
8091,Macarrão Instantâneo,35
8091,Molho de Tomate,16
8091,Refrigerante,16
8091,Chocolate em Barra,15
8091,Torrada,12
8091,Creme de Leite,10
8091,Manteiga,10
8091,Sabão em Pó,10
8091,Salgadinho,9
8091,Creme Dental,8
8091,Lasanha Pronta,8
8091,Leite Condensado,8
8091,Margarina,8
8091,Papel Higiênico,8
